         50|    60.3x 3.00|  3.539|  3.378|  3.326|M16- 8.8     |27/18| 4x30|        | 90-154|   12| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         51|    60.3x 3.00|  3.392|  3.231|  3.179|M16- 8.8     |27/18| 4x30|        | 90-154|   19| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         52|    60.3x 3.00|  3.595|  3.434|  3.382|M16- 8.8     |27/18| 4x30|        | 90-154|    8| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         53|    60.3x 3.00|  3.452|  3.291|  3.239|M16- 8.8     |27/18| 4x30|        | 90-154|   20| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         54|    60.3x 3.00|  3.598|  3.418|  3.365|M16- 8.8     |27/18| 4x30|        | 90-190|   22| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         55|    60.3x 3.00|  2.500|  2.320|  2.268|M16- 8.8     |27/18| 4x30|        | 90-190|    1| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         56|    60.3x 3.00|  3.153|  2.973|  2.921|M16- 8.8     |27/18| 4x30|        | 90-190|   10| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         57|    60.3x 3.00|  3.347|  3.142|  3.090|M16- 8.8     |27/18| 4x30|        | 90-240|   11| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         58|    60.3x 3.00|  3.598|  3.393|  3.341|M16- 8.8     |27/18| 4x30|        | 90-240|   24| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         59|    60.3x 3.00|  3.347|  3.142|  3.090|M16- 8.8     |27/18| 4x30|        | 90-240|    1| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         60|    60.3x 3.00|  3.674|  3.520|  3.467|M16- 8.8     |27/18| 4x30|        |110-110|    2| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         61|    60.3x 3.00|  3.595|  3.441|  3.389|M16- 8.8     |27/18| 4x30|        |110-110|    9| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         62|    60.3x 3.00|  3.521|  3.367|  3.315|M16- 8.8     |27/18| 4x30|        |110-110|   12| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         63|    60.3x 3.00|  3.359|  3.205|  3.153|M16- 8.8     |27/18| 4x30|        |110-110|    7| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         64|    60.3x 3.00|  3.153|  2.990|  2.938|M16- 8.8     |27/18| 4x30|        |110-132|    4| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         65|    60.3x 3.00|  3.907|  3.743|  3.691|M16- 8.8     |27/18| 4x30|        |110-132|    4| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         66|    60.3x 3.00|  3.389|  3.219|  3.167|M16- 8.8     |27/18| 4x30|        |110-154|   13| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         67|    60.3x 3.00|  3.757|  3.587|  3.535|M16- 8.8     |27/18| 4x30|        |110-154|    2| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         68|    60.3x 3.00|  3.595|  3.425|  3.373|M16- 8.8     |27/18| 4x30|        |110-154|   16| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         69|    60.3x 3.00|  3.452|  3.282|  3.230|M16- 8.8     |27/18| 4x30|        |110-154|   14| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         70|    60.3x 3.00|  3.488|  3.318|  3.266|M16- 8.8     |27/18| 4x30|        |110-154|   21| ST37
  ---------|--------------|-------|-------|-------|-------------|-----|-----|--------|-------|-----|-------
         71|    60.3x 3.00|  3.359|  3.189|  3.137|M16- 8.8     |27/18| 4x30|        |110-154|    5| ST37
